Unix,Min,Avg,Max
1483701300,,,
1483702200,,,
1483703100,,,
1483704000,,,
1483704900,,,
1483705800,,,
1483706700,,,
1483707600,,,
1483708500,,,
1483709400,,,
1483710300,,,
1483711200,,,
1483712100,,,
1483713000,,,
1483713900,,,
1483714800,,,
1483715700,,,
1483716600,,,
1483717500,,,
1483718400,,,
1483719300,,,
1483720200,,,
1483721100,,,
1483722000,,,
1483722900,,,
1483723800,,,
1483724700,,,
1483725600,,,
1483726500,22.375,22.375,22.375
1483727400,22.3125,22.3333,22.375
1483728300,22.375,22.4375,22.4688
1483729200,22.4375,22.5208,22.5625
1483730100,22.4062,22.4791,22.5312
1483731000,22.4688,22.5313,22.5625
1483731900,22.4688,22.5208,22.5625
1483732800,22.4375,22.4896,22.5625
1483733700,22.5,22.5,22.5
1483734600,,,
1483735500,,,
1483736400,,,
1483737300,,,
1483738200,,,
1483739100,,,
1483740000,,,
1483740900,,,
1483741800,,,
1483742700,,,
1483743600,,,
1483744500,,,
1483745400,,,
1483746300,,,
1483747200,,,
1483748100,,,
1483749000,,,
1483749900,,,
1483750800,,,
1483751700,,,
1483752600,,,
1483753500,,,
1483754400,,,
1483755300,,,
1483756200,,,
1483757100,,,
1483758000,,,
1483758900,,,
1483759800,,,
1483760700,,,
1483761600,,,
1483762500,,,
1483763400,,,
1483764300,,,
1483765200,,,
1483766100,,,
1483767000,,,
1483767900,,,
1483768800,,,
1483769700,,,
1483770600,,,
1483771500,,,
1483772400,,,
1483773300,,,
1483774200,,,
1483775100,,,
1483776000,,,
1483776900,,,
1483777800,,,
1483778700,,,
1483779600,,,
1483780500,,,
1483781400,,,
1483782300,,,
1483783200,,,
1483784100,,,
1483785000,,,
1483785900,,,
1483786800,,,
1483787700,,,
1483788600,,,
1483789500,,,
1483790400,,,
1483791300,,,
1483792200,,,
1483793100,,,
1483794000,,,
1483794900,,,
1483795800,,,
1483796700,,,
1483797600,,,
1483798500,,,
1483799400,,,
1483800300,,,
1483801200,,,
1483802100,,,
1483803000,,,
1483803900,,,
1483804800,,,
1483805700,,,
1483806600,,,
1483807500,,,
1483808400,,,
1483809300,,,
1483810200,,,
1483811100,,,
1483812000,,,
1483812900,,,
1483813800,,,
1483814700,,,
1483815600,,,
1483816500,,,
1483817400,,,
1483818300,,,
1483819200,,,
1483820100,,,
1483821000,,,
1483821900,,,
1483822800,,,
1483823700,,,
1483824600,,,
1483825500,,,
1483826400,,,
1483827300,,,
1483828200,,,
1483829100,,,
1483830000,,,
1483830900,,,
1483831800,,,
1483832700,,,
1483833600,,,
1483834500,,,
1483835400,,,
1483836300,,,
1483837200,,,
1483838100,,,
1483839000,,,
1483839900,,,
1483840800,,,
1483841700,,,
1483842600,,,
1483843500,,,
1483844400,,,
1483845300,,,
1483846200,,,
1483847100,,,
1483848000,,,
1483848900,,,
1483849800,,,
1483850700,,,
1483851600,,,
1483852500,,,
1483853400,,,
1483854300,,,
1483855200,,,
1483856100,,,
1483857000,,,
1483857900,,,
1483858800,,,
1483859700,,,
1483860600,,,
1483861500,,,
1483862400,,,
1483863300,,,
1483864200,,,
1483865100,,,
1483866000,,,
1483866900,,,
1483867800,,,
1483868700,,,
1483869600,,,
1483870500,,,
1483871400,,,
1483872300,,,
1483873200,,,
1483874100,,,
1483875000,,,
1483875900,,,
1483876800,,,
1483877700,,,
1483878600,,,
1483879500,,,
1483880400,,,
1483881300,,,
1483882200,,,
1483883100,,,
1483884000,,,
1483884900,,,
1483885800,,,
1483886700,,,
1483887600,,,
1483888500,,,
1483889400,,,
1483890300,,,
1483891200,,,
1483892100,,,
1483893000,,,
1483893900,,,
1483894800,,,
1483895700,,,
1483896600,,,
1483897500,,,
1483898400,,,
1483899300,,,
1483900200,,,
1483901100,,,
1483902000,,,
1483902900,,,
1483903800,,,
1483904700,,,
1483905600,,,
1483906500,,,
1483907400,,,
1483908300,,,
1483909200,,,
1483910100,,,
1483911000,,,
1483911900,,,
1483912800,,,
1483913700,,,
1483914600,,,
1483915500,,,
1483916400,,,
1483917300,,,
1483918200,,,
1483919100,,,
1483920000,,,
1483920900,,,
1483921800,,,
1483922700,,,
1483923600,,,
1483924500,,,
1483925400,,,
1483926300,,,
1483927200,,,
1483928100,,,
1483929000,,,
1483929900,,,
1483930800,,,
1483931700,,,
1483932600,,,
1483933500,,,
1483934400,,,
1483935300,,,
1483936200,,,
1483937100,,,
1483938000,,,
1483938900,,,
1483939800,,,
1483940700,,,
1483941600,,,
1483942500,,,
1483943400,,,
1483944300,,,
1483945200,,,
1483946100,,,
1483947000,,,
1483947900,,,
1483948800,,,
1483949700,,,
1483950600,,,
1483951500,,,
1483952400,,,
1483953300,,,
1483954200,,,
1483955100,,,
1483956000,,,
1483956900,,,
1483957800,,,
1483958700,,,
1483959600,,,
1483960500,,,
1483961400,,,
1483962300,,,
1483963200,,,
1483964100,,,
1483965000,,,
1483965900,,,
1483966800,,,
1483967700,,,
1483968600,,,
1483969500,,,
1483970400,,,
1483971300,,,
1483972200,,,
1483973100,,,
1483974000,,,
1483974900,,,
1483975800,,,
1483976700,,,
1483977600,,,
1483978500,,,
1483979400,,,
1483980300,,,
1483981200,,,
1483982100,,,
1483983000,,,
1483983900,,,
1483984800,,,
1483985700,,,
1483986600,,,
1483987500,,,
1483988400,,,
1483989300,,,
1483990200,,,
1483991100,,,
1483992000,,,
1483992900,,,
1483993800,,,
1483994700,,,
1483995600,22.25,22.2812,22.3125
1483996500,22.1875,22.2188,22.25
1483997400,22.1875,22.2396,22.3438
1483998300,22.125,22.1354,22.1562
