Temp,Temp2,Sensor
25.05994,25.05994,0
25.06581,25.06581,0
25.04464,25.04464,0
24.77769,24.77769,0
24.8858,24.8858,0
24.55201,24.55201,0
24.25291,24.25291,0
23.99185,23.99185,0
23.89214,23.89214,0
23.87435,23.87435,0
23.80593,23.80593,0
23.84866,23.84866,0
23.9096,23.9096,0
23.96687,23.96687,0
23.96112,23.96112,0
23.8389,23.8389,0
23.69793,23.69793,0
23.60081,23.60081,0
23.55085,23.55085,0
23.54629,23.54629,0
23.57859,23.57859,0
23.61628,23.61628,0
23.62259,23.62259,0
23.64186,23.64186,0
23.70404,23.70404,0
23.80335,23.80335,0
23.89139,23.89139,0
23.94065,23.94065,0
23.79171,23.79171,0
22.74257,22.74257,0
22.09049,22.09049,0
21.78851,21.78851,0
21.63273,21.63273,0
21.47212,21.47212,0
21.30622,21.30622,0
21.16781,21.16781,0
21.03225,21.03225,0
21.2363,21.2363,0
21.68154,21.68154,0
22.43253,22.43253,0
22.90733,22.90733,0
23.14288,23.14288,0
23.23936,23.23936,0
23.28055,23.28055,0
23.30825,23.30825,0
23.33278,23.33278,0
23.3386,23.3386,0
23.32927,23.32927,0
23.3248,23.3248,0
23.3612,23.3612,0
23.52125,23.52125,0
23.49034,23.49034,0
23.30288,23.30288,0
23.18366,23.18366,0
24.2764,24.2764,0
24.92917,24.92917,0
25.45916,25.45916,0
25.17969,25.17969,0
24.66693,24.66693,0
24.71047,24.71047,0
25.42604,25.42604,0
25.9557,25.9557,0
26.33018,26.33018,0
25.85891,25.85891,0
25.11171,25.11171,0
24.64143,24.64143,0
24.68032,24.68032,0
25.51708,25.51708,0
26.57699,26.57699,0
26.81952,26.81952,0
26.35986,26.35986,0
25.82431,25.82431,0
25.35907,25.35907,0
24.95248,24.95248,0
24.73448,24.73448,0
24.38307,24.38307,0
23.96247,23.96247,0
23.72107,23.72107,0
23.50507,23.50507,0
23.6933,23.6933,0
24.20827,24.20827,0
23.86687,23.86687,0
23.39002,23.39002,0
23.14588,23.14588,0
22.90586,22.90586,0
22.68098,22.68098,0
22.60649,22.60649,0
22.79073,22.79073,0
22.95762,22.95762,0
22.68203,22.68203,0
22.31575,22.31575,0
22.01377,22.01377,0
21.89047,21.89047,0
21.87902,21.87902,0
22.21406,22.21406,0
23.23276,23.23276,0
23.75696,23.75696,0
24.10886,24.10886,0
24.23973,24.23973,0
23.68244,23.68244,0
23.13667,23.13667,0
22.79175,22.79175,0
23.08592,23.08592,0
23.60696,23.60696,0
24.10371,24.10371,0
24.19281,24.19281,0
23.87478,23.87478,0
23.49883,23.49883,0
