Avg,RH_Avg,OT
21.625,39.54568333,18.611
21.625,39.45831667,18.277
21.625,39.32841667,18.111
21.625,39.33985,18
21.625,39.29176667,17.611
21.625,39.25601667,16.888
21.625,39.33793333,16.611
21.625,39.45633333,16.5
21.625,39.54023333,16.277
21.625,39.56021667,16.111
21.625,39.61886667,16.222
21.625,39.68046667,16.611
21.625,39.84401667,16.611
21.625,40.08071667,16.277
21.625,40.38608333,16.5
21.625,40.48468333,16.388
21.625,40.44216667,16.277
21.625,40.65488333,16.222
21.625,40.7781,16.222
21.625,40.9862,16.111
21.625,41.132,16
21.625,41.3496,16
21.625,41.38523333,16
21.625,41.63655,16
21.625,41.61551667,16
21.625,41.64261667,16
21.625,41.82048333,16
21.625,42.316,16
21.625,42.35593333,16
21.625,42.71856667,16
21.625,42.77343333,16
21.625,42.6921,16
21.625,42.92123333,16
21.625,42.73451667,16
21.625,42.87733333,16
21.625,43.1467,16
21.625,43.42,16
21.625,43.60788333,16
21.625,43.86203333,16
21.625,44.0289,16
21.625,44.23551667,16
21.625,44.4108,16
21.625,44.78993333,16
21.625,44.94946667,16
21.625,45.32983333,16
21.625,45.49956667,16
21.625,45.71595,16
21.625,45.77128333,16
21.625,45.87538333,16
21.625,45.87038333,16
21.625,45.93828333,16
21.625,45.95155,16
21.625,46.03718333,16
21.625,46.1219,16
21.625,46.20078333,16
21.625,46.29948333,16
21.625,46.63011667,16
21.625,46.78923333,16
21.625,47.09476667,16
21.625,47.2297,16
21.625,46.59208333,16
21.625,45.89793333,14.777
21.625,45.22305,14.777
21.625,44.92651667,14.722
21.625,44.47321667,14.888
21.625,44.22791667,15.222
21.625,43.95851667,16
21.625,43.72093333,16.888
21.625,43.64091667,17.388
21.625,43.40385,18.222
21.625,43.24006667,19.111
21.625,43.0898,19.5
21.625,42.95685,19.888
21.625,42.71991667,20.222
21.625,42.61121667,20
21.625,42.57748333,20.722
21.625,42.45461667,21.888
21.625,42.36536667,21.888
21.625,42.39725,21.277
21.625,42.37266667,21.5
21.625,42.26783333,21.722
21.625,42.06828333,21.888
21.625,41.89291667,23.111
21.625,41.77063333,23.777
21.625,41.65355,23.722
21.625,41.53136667,24
21.625,41.47605,24.611
21.625,41.3411,24.888
21.625,41.273,25.277
21.625,41.2434,25.277
21.625,41.23866667,25.222
21.625,41.13686667,25
21.625,41.12748333,24.777
21.625,41.19211667,25.111
21.625,41.12431667,25.222
21.625,41.12648333,24.888
21.625,41.06798333,24.388
21.625,41.15278333,23.777
21.625,41.11528333,23.5
21.625,41.17105,23.277
21.625,41.05256667,23
21.625,41.00928333,22.777
21.625,40.94216667,22.777
21.625,41.87513333,22.777
21.625,41.63146667,22.611
21.625,41.40663333,22.611
21.625,41.2038,22.5
21.625,41.22101667,22.722
21.625,41.10001667,22.5
21.625,40.95695,22.388
21.625,41.04806667,22.111
21.625,41.1125,21.611
21.625,41.1443,20.888
21.625,41.31646667,20.388
21.625,41.36413333,20.222
21.625,41.53593333,20.222
21.625,41.64265,20.222
21.625,41.64483333,20.222
21.625,41.53305,20.222
21.625,41.50343333,20.222
21.625,41.55825,20.222
21.625,41.8001,20.222
21.625,44.60385,20.222
21.625,46.92565,20.222
21.625,47.8363,20.222
21.625,48.449,20.222
21.625,48.89443333,20.222
21.625,49.07121667,20.222
21.625,48.92581667,20.222
21.625,48.48256667,20.222
21.625,48.22435,20.222
21.625,47.94866667,20.222
21.625,47.74303333,20.222
21.625,47.63685,20.222
21.625,48.25853333,20.222
21.625,48.72148333,20.222
21.625,48.91966667,20.222
21.625,49.18308333,20.222
21.625,49.48473333,20.222
21.625,49.60406667,20.222
21.625,49.70791667,20.222
21.625,49.7642,20.222
21.625,49.96316667,20.222
21.625,50.10973333,20.222
21.625,50.27488333,20.222
21.625,50.47595,20.222
21.625,50.57676667,20.222
21.625,50.559,20.222
21.625,50.86975,20.222
21.625,51.10461667,20.222
21.625,51.40195,20.222
21.625,51.60376667,20.222
21.625,51.92511667,20.222
21.625,52.06933333,20.222
21.625,52.16681667,20.222
